id,question,answer,category,cluster,relevance_score,intent
1,स्टार्टअप म्हणजे काय?,स्टार्टअप म्हणजे एक नवीन व्यवसाय जो नाविन्यपूर्ण उत्पादन किंवा सेवा देऊन बाजारात येतो. हे सामान्यतः कमी गुंतवणुकीत सुरू होते आणि जलद वाढीसाठी डिझाइन केलेले असते.,definitions,startup_basics,1.0,definition
2,स्टार्टअप कसे सुरू करावे?,स्टार्टअप सुरू करण्यासाठी प्रथम एक चांगली कल्पना आवश्यक आहे. त्यानंतर बाजार संशोधन करा आणि व्यवसाय योजना तयार करा. नोंदणी पूर्ण करा आणि आवश्यक परवाने मिळवा.,startup_process,getting_started,1.0,how_to
3,व्यवसाय योजना कशी तयार करावी?,व्यवसाय योजना तयार करताना तुमची कल्पना स्पष्ट करा आणि लक्ष्य ग्राहक ओळखा. आर्थिक अंदाज तयार करा आणि मार्केटिंग रणनीती ठरवा. स्पर्धकांचे विश्लेषण करा.,business_planning,planning,1.0,planning
4,फंडिंग कसे मिळवावे?,फंडिंग मिळवण्यासाठी तुमची कल्पना स्पष्ट करा आणि मजबूत व्यवसाय योजना तयार करा. एंजेल इन्व्हेस्टर्स किंवा व्हेंचर कॅपिटलिस्ट्सशी संपर्क साधा. सरकारी योजनांचाही फायदा घ्या.,funding,investment,1.0,funding
5,एंजेल इन्व्हेस्टर म्हणजे काय?,एंजेल इन्व्हेस्टर म्हणजे असे व्यक्ती जे नवीन स्टार्टअप्समध्ये गुंतवणूक करतात. ते सामान्यतः अनुभवी उद्योजक असतात जे पैशाबरोबरच मार्गदर्शन देखील करतात.,funding,investment,1.0,definition
6,व्हेंचर कॅपिटल म्हणजे काय?,व्हेंचर कॅपिटल म्हणजे असे फंड जे उच्च वाढीची क्षमता असलेल्या स्टार्टअप्समध्ये गुंतवणूक करतात. ते मोठ्या प्रमाणात पैसा गुंतवतात आणि कंपनीत हिस्सा घेतात.,funding,investment,1.0,definition
7,MVP म्हणजे काय?,MVP म्हणजे Minimum Viable Product. हे तुमच्या उत्पादनाची सर्वात सोपी आवृत्ती आहे जी ग्राहकांना मूल्य देऊ शकते. यामुळे तुम्ही कमी खर्चात बाजार तपासू शकता.,product_development,mvp,1.0,definition
8,मार्केट रिसर्च कसे करावे?,मार्केट रिसर्च करण्यासाठी तुमच्या लक्ष्य ग्राहकांशी बोला. सर्वेक्षण करा आणि स्पर्धकांचे विश्लेषण करा. ऑनलाइन डेटा आणि इंडस्ट्री रिपोर्ट्सचा वापर करा.,market_research,research,1.0,how_to
9,स्टार्टअप रजिस्ट्रेशन कसे करावे?,स्टार्टअप रजिस्ट्रेशनसाठी प्रथम कंपनी नोंदणी करा. त्यानंतर स्टार्टअप इंडिया पोर्टलवर नोंदणी करा. आवश्यक कागदपत्रे तयार ठेवा आणि ऑनलाइन अर्ज भरा.,registration,legal,1.0,process
10,स्टार्टअप इंडिया योजना काय आहे?,स्टार्टअप इंडिया योजना भारत सरकारची एक पहल आहे जी नवीन उद्योजकांना प्रोत्साहन देते. यामध्ये कर सवलती आणि सरकारी सहाय्य मिळते.,government_schemes,startup_india,1.0,scheme
11,कर सवलती कशा मिळतात?,स्टार्टअप इंडियामध्ये नोंदणी केलेल्या कंपन्यांना 3 वर्षांसाठी इन्कम टॅक्समध्ये सूट मिळते. यासाठी DPIIT कडून मान्यता आवश्यक आहे.,tax_benefits,taxation,1.0,benefits
12,इन्क्यूबेटर म्हणजे काय?,इन्क्यूबेटर म्हणजे असे संस्था जे नवीन स्टार्टअप्सना मार्गदर्शन आणि संसाधने देतात. ते ऑफिस स्पेस आणि मेंटरशिप देखील देतात.,support_system,incubator,1.0,definition
13,एक्सेलेरेटर म्हणजे काय?,एक्सेलेरेटर म्हणजे असे प्रोग्राम जे स्टार्टअप्सच्या वाढीला गती देतात. ते सामान्यतः 3-6 महिन्यांचे असतात आणि फंडिंग देखील देतात.,support_system,accelerator,1.0,definition
14,पिच डेक कसे तयार करावे?,पिच डेक तयार करताना तुमची समस्या आणि समाधान स्पष्ट करा. बाजाराचा आकार दाखवा आणि व्यवसाय मॉडेल स्पष्ट करा. आर्थिक अंदाज आणि टीम दाखवा.,pitching,presentation,1.0,how_to
15,नेटवर्किंग कसे करावे?,नेटवर्किंग करण्यासाठी इंडस्ट्री इव्हेंट्समध्ये भाग घ्या. ऑनलाइन प्लॅटफॉर्मवर सक्रिय रहा आणि इतर उद्योजकांशी संपर्क साधा. मेंटर्स शोधा.,networking,connections,1.0,how_to
16,मेंटर कसे शोधावे?,मेंटर शोधण्यासाठी तुमच्या इंडस्ट्रीतील अनुभवी लोकांशी संपर्क साधा. नेटवर्किंग इव्हेंट्समध्ये भाग घ्या आणि ऑनलाइन प्लॅटफॉर्म वापरा.,mentorship,guidance,1.0,how_to
17,टीम कसे तयार करावी?,टीम तयार करताना विविध कौशल्ये असलेले लोक निवडा. सह-संस्थापक निवडताना सावधगिरी बाळगा आणि कंपनी कल्चर ठरवा.,team_building,hiring,1.0,how_to
18,कॉ-फाउंडर कसे निवडावे?,कॉ-फाउंडर निवडताना तुमच्या कौशल्यांना पूरक असलेले व्यक्ती शोधा. त्यांच्याशी चांगले संबंध असावेत आणि समान दृष्टिकोन असावा.,co_founder,partnership,1.0,selection
19,इक्विटी कसे वाटावी?,इक्विटी वाटताना प्रत्येकाचे योगदान विचारात घ्या. फंडर्स आणि टीम मेंबर्सना योग्य हिस्सा द्या. कायदेशीर सल्ला घ्या.,equity,ownership,1.0,distribution
20,वेस्टिंग क्या आहे?,वेस्टिंग म्हणजे कर्मचाऱ्यांना वेळेनुसार इक्विटी मिळणे. हे सामान्यतः 4 वर्षांत होते आणि 1 वर्षाचा क्लिफ असतो.,equity,vesting,1.0,definition
21,बिझनेस मॉडेल कसे तयार करावे?,बिझनेस मॉडेल तयार करताना तुम्ही कसे पैसे कमवाल ते ठरवा. ग्राहक सेगमेंट ओळखा आणि व्हॅल्यू प्रपोझिशन स्पष्ट करा.,business_model,strategy,1.0,how_to
22,रेव्हेन्यू मॉडेल म्हणजे काय?,रेव्हेन्यू मॉडेल म्हणजे तुम्ही कसे पैसे कमवाल याची योजना. हे सब्स्क्रिप्शन आधारित किंवा ट्रांझॅक्शन आधारित असू शकते.,revenue,monetization,1.0,definition
23,कस्टमर एक्विझिशन कसे करावे?,कस्टमर एक्विझिशनसाठी डिजिटल मार्केटिंग वापरा. सोशल मीडिया आणि कंटेंट मार्केटिंगचा फायदा घ्या. रेफरल प्रोग्राम सुरू करा.,customer_acquisition,marketing,1.0,strategy
